1	195
2	32963
3	65731
4	98499

5	707
6	33475
7	66243
8	99011

9	1219
10	33987
11	66755
12	99523

13	1731
14	34499
15	67267
16	100035

17	2243
18	35011
19	67779
20	100547

21	2755
22	35523
23	68291
24	101059

25	3267
26	36035
27	68803
28	101571

29	3779
30	36547
31	69315
32	102083



101	4291
102	37059
103	69827
104	102595

105	4803
106	37571
107	70339
108	103107

109	5315
110	38083
111	70851
112	103619

113	5827
114	38595
115	71363
116	104131

117	6339
118	39107
119	71875
120	104643

121	6851
122	39619
123	72387
124	105155

125	7363
126	40131
127	72899
128	105667

129	7875
130	40643
131	73411
132	106179



201	8387
202	41155
203	73923
204	106691

205	8899
206	41667
207	74435
208	107203

209	9411
210	42179
211	74947
212	107715

213	9923
214	42691
215	75459
216	108227

217	10435
218	43203
219	75971
220	108739

221	10947
222	43715
223	76483
224	109251

225	11459
226	44227
227	76995
228	109763

229	11971
230	44739
231	77507
232	110275



301	12483
302	45251
303	78019
304	110787

305	12995
306	45763
307	78531
308	111299

309	13507
310	46275
311	79043
312	111811

313	14019
314	46787
315	79555
316	112323

317	14531
318	47299
319	80067
320	112835

321	15043
322	47811
323	80579
324	113347



#############################################################


3301	196
3302	32964
3303	65732
3304	98500

3305	708
3306	33476
3307	66244
3308	99012

3309	1220
3310	33988
3311	66756
3312	99524

3313	1732
3314	34500
3315	67268
3316	100036

3317	2244
3318	35012
3319	67780
3320	100548

3321	2756
3322	35524
3323	68292
3324	101060

3325	3268
3326	36036
3327	68804
3328	101572

3329	3780
3330	36548
3331	69316
3332	102084



3401	4292
3402	37060
3403	69828
3404	102596

3405	4804
3406	37572
3407	70340
3408	103108

3409	5316
3410	38084
3411	70852
3412	103620

3413	5828
3414	38596
3415	71364
3416	104132

3417	6340
3418	39108
3419	71876
3420	104644

3421	6852
3422	39620
3423	72388
3424	105156

3425	7364
3426	40132
3427	72900
3428	105668

3429	7876
3430	40644
3431	73412
3432	106180



3501	8388
3502	41156
3503	73924
3504	106692

3505	8900
3506	41668
3507	74436
3508	107204

3509	9412
3510	42180
3511	74948
3512	107716

3513	9924
3514	42692
3515	75460
3516	108228

3517	10436
3518	43204
3519	75972
3520	108740

3521	10948
3522	43716
3523	76484
3524	109252

3525	11460
3526	44228
3527	76996
3528	109764

3529	11972
3530	44740
3531	77508
3532	110276



3601	12484
3602	45252
3603	78020
3604	110788

3605	12996
3606	45764
3607	78532
3608	111300

3609	13508
3610	46276
3611	79044
3612	111812

3613	14020
3614	46788
3615	79556
3616	112324

3617	14532
3618	47300
3619	80068
3620	112836

3621	15044
3622	47812
3623	80580
3624	113348



#############################################################


