3001	5
3002	32773
3003	65541
3004	98309

3005	517
3006	33285
3007	66053
3008	98821

3009	1029
3010	33797
3011	66565
3012	99333

3013	69
3014	32837
3015	65605
3016	98373

3017	581
3018	33349
3019	66117
3020	98885

3021	1093
3022	33861
3023	66629
3024	99397

3025	133
3026	32901
3027	65669
3028	98437

3029	645
3030	33413
3031	66181
3032	98949



3101	1157
3102	33925
3103	66693
3104	99461

3105	197
3106	32965
3107	65733
3108	98501

3109	709
3110	33477
3111	66245
3112	99013

3113	1221
3114	33989
3115	66757
3116	99525

3117	261
3118	33029
3119	65797
3120	98565

3121	773
3122	33541
3123	66309
3124	99077

3125	1285
3126	34053
3127	66821
3128	99589

3129	325
3130	33093
3131	65861
3132	98629



3201	837
3202	33605
3203	66373
3204	99141

3205	1349
3206	34117
3207	66885
3208	99653

3209	389
3210	33157
3211	65925
3212	98693

3213	901
3214	33669
3215	66437
3216	99205

3217	1413
3218	34181
3219	66949
3220	99717

3221	453
3222	33221
3223	65989
3224	98757

3225	965
3226	33733
3227	66501
3228	99269

3229	1477
3230	34245
3231	67013
3232	99781



