日期	时间	磁场	温度
2018/6/2	23:32:23	-0.0002340	29.1
2018/6/2	23:32:28	-0.0002330	29.1
2018/6/2	23:32:33	-0.0002320	29.1
2018/6/2	23:32:38	-0.0002360	29.1
2018/6/2	23:32:43	-0.0002330	29.1
2018/6/2	23:32:48	-0.0002340	29.1
2018/6/2	23:32:53	-0.0002330	29.1
2018/6/2	23:32:58	-0.0002310	29.1
2018/6/2	23:33:03	-0.0002340	29.1
2018/6/2	23:33:08	-0.0002330	29.1
2018/6/2	23:33:13	-0.0002350	29.1
2018/6/2	23:33:18	-0.0002330	29.1
2018/6/2	23:33:23	-0.0002360	29.1
2018/6/2	23:33:28	-0.0002340	29.1
2018/6/2	23:33:33	-0.0002310	29.1
2018/6/2	23:33:38	-0.0002290	29.1
2018/6/2	23:33:43	-0.0002330	29.1
2018/6/2	23:33:48	-0.0002290	29.1
2018/6/2	23:33:53	-0.0002300	29.1
2018/6/2	23:33:58	-0.0002320	29.1
2018/6/2	23:34:03	-0.0002320	29.1
2018/6/2	23:34:08	-0.0002320	29.1
2018/6/2	23:34:13	-0.0002300	29.1
2018/6/2	23:34:18	-0.0002360	29.1
2018/6/2	23:34:23	-0.0002330	29.1
2018/6/2	23:34:28	-0.0002320	29.1
2018/6/2	23:34:33	-0.0002310	29.1
2018/6/2	23:34:38	-0.0002320	29.1
2018/6/2	23:34:43	-0.0002300	29.1
2018/6/2	23:34:48	-0.0002280	29.1
2018/6/2	23:34:53	-0.0002290	29.1
2018/6/2	23:34:58	-0.0002330	29.1
2018/6/2	23:35:03	-0.0002320	29.1
2018/6/2	23:35:08	-0.0002340	29.1
2018/6/2	23:35:13	-0.0002320	29.1
2018/6/2	23:35:18	-0.0002320	29.1
2018/6/2	23:35:23	-0.0002320	29.1
2018/6/2	23:35:28	-0.0002310	29.1
2018/6/2	23:35:33	-0.0002290	29.1
2018/6/2	23:35:38	-0.0002340	29.1
2018/6/2	23:35:43	-0.0002330	29.1
2018/6/2	23:35:48	-0.0002300	29.1
2018/6/2	23:35:53	-0.0002280	29.1
2018/6/2	23:35:58	-0.0002280	29.1
2018/6/2	23:36:03	-0.0002300	29.1
2018/6/2	23:36:08	-0.0002300	29.1
2018/6/2	23:36:13	-0.0002330	29.1
2018/6/2	23:36:18	-0.0002370	29.1
2018/6/2	23:36:23	-0.0002340	29.1
2018/6/2	23:36:28	-0.0002350	29.1
2018/6/2	23:36:33	-0.0002350	29.1
2018/6/2	23:36:38	-0.0002340	29.1
2018/6/2	23:36:43	-0.0002350	29.1
2018/6/2	23:36:48	-0.0002350	29.1
2018/6/2	23:36:53	-0.0002340	29.1
2018/6/2	23:36:58	-0.0002360	29.1
2018/6/2	23:37:03	-0.0002380	29.1
2018/6/2	23:37:08	-0.0002360	29.2
2018/6/2	23:37:13	-0.0002340	29.2
2018/6/2	23:37:18	-0.0002340	29.2
2018/6/2	23:37:23	-0.0002310	29.2
2018/6/2	23:37:28	-0.0002320	29.1
2018/6/2	23:37:33	-0.0002330	29.1
2018/6/2	23:37:38	-0.0002330	29.1
2018/6/2	23:37:43	-0.0002350	29.1
2018/6/2	23:37:48	-0.0002340	29.1
2018/6/2	23:37:53	-0.0002320	29.1
2018/6/2	23:37:58	-0.0002340	29.1
2018/6/2	23:38:03	-0.0002340	29.2
2018/6/2	23:38:08	-0.0002400	29.2
2018/6/2	23:38:13	-0.0002380	29.1
2018/6/2	23:38:18	-0.0002390	29.1
2018/6/2	23:38:23	-0.0002350	29.1
2018/6/2	23:38:28	-0.0002330	29.1
2018/6/2	23:38:33	-0.0002300	29.1
2018/6/2	23:38:38	-0.0002350	29.1
2018/6/2	23:38:43	-0.0002310	29.1
2018/6/2	23:38:48	-0.0002340	29.2
2018/6/2	23:38:53	-0.0002380	29.2
2018/6/2	23:38:58	-0.0002360	29.1
2018/6/2	23:39:03	-0.0002370	29.1
2018/6/2	23:39:08	-0.0002370	29.1
2018/6/2	23:39:13	-0.0002370	29.1
2018/6/2	23:39:18	-0.0002370	29.1
2018/6/2	23:39:23	-0.0002380	29.1
2018/6/2	23:39:28	-0.0002350	29.1
2018/6/2	23:39:33	-0.0002380	29.2
2018/6/2	23:39:38	-0.0002400	29.2
2018/6/2	23:39:43	-0.0002390	29.1
2018/6/2	23:39:48	-0.0002320	29.1
2018/6/2	23:39:53	-0.0002320	29.1
2018/6/2	23:39:58	-0.0002340	29.1
2018/6/2	23:40:03	-0.0002360	29.1
2018/6/2	23:40:08	-0.0002350	29.1
2018/6/2	23:40:13	-0.0002370	29.1
2018/6/2	23:40:18	-0.0002350	29.2
2018/6/2	23:40:23	-0.0002360	29.1
2018/6/2	23:40:28	-0.0002350	29.1
2018/6/2	23:40:33	-0.0002350	29.1
2018/6/2	23:40:38	-0.0002380	29.1
2018/6/2	23:40:43	-0.0002370	29.1
2018/6/2	23:40:48	-0.0002390	29.2
2018/6/2	23:40:53	-0.0002340	29.1
2018/6/2	23:40:58	-0.0002340	29.1
2018/6/2	23:41:03	-0.0002340	29.1
2018/6/2	23:41:08	-0.0002370	29.2
2018/6/2	23:41:13	-0.0002350	29.2
2018/6/2	23:41:18	-0.0002370	29.1
2018/6/2	23:41:23	-0.0002330	29.1
2018/6/2	23:41:28	-0.0002360	29.1
2018/6/2	23:41:33	-0.0002380	29.1
2018/6/2	23:41:38	-0.0002330	29.2
2018/6/2	23:41:43	-0.0002340	29.1
2018/6/2	23:41:48	-0.0002290	29.1
2018/6/2	23:41:53	-0.0002360	29.1
2018/6/2	23:41:58	-0.0002360	29.2
2018/6/2	23:42:03	-0.0002370	29.2
2018/6/2	23:42:08	-0.0002380	29.2
2018/6/2	23:42:13	-0.0002390	29.2
2018/6/2	23:42:18	-0.0002370	29.1
2018/6/2	23:42:23	-0.0002360	29.1
2018/6/2	23:42:28	-0.0002370	29.1
2018/6/2	23:42:33	-0.0002330	29.1
2018/6/2	23:42:38	-0.0002340	29.1
2018/6/2	23:42:43	-0.0002340	29.1
2018/6/2	23:42:48	-0.0002360	29.2
2018/6/2	23:42:53	-0.0002370	29.2
2018/6/2	23:42:58	-0.0002370	29.1
2018/6/2	23:43:03	-0.0002380	29.1
2018/6/2	23:43:08	-0.0002380	29.1
2018/6/2	23:43:13	-0.0002420	29.1
2018/6/2	23:43:18	-0.0002400	29.1
2018/6/2	23:43:23	-0.0002400	29.1
2018/6/2	23:43:28	-0.0002360	29.1
2018/6/2	23:43:33	-0.0002370	29.1
2018/6/2	23:43:38	-0.0002360	29.1
2018/6/2	23:43:43	-0.0002410	29.1
2018/6/2	23:43:48	-0.0002390	29.1
2018/6/2	23:43:53	-0.0002400	29.1
2018/6/2	23:43:58	-0.0002390	29.1
2018/6/2	23:44:03	-0.0002430	29.1
2018/6/2	23:44:08	-0.0002440	29.1
2018/6/2	23:44:13	-0.0002380	29.1
2018/6/2	23:44:18	-0.0002360	29.1
